[2020-10-18T20:29:33+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-10-18T20:29:44+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T20:33:23+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-18T20:35:19+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T20:35:19+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T20:36:06+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T20:36:06+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-18T20:37:02+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T20:37:02+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T20:37:58+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-18T20:37:58+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-18T20:48:09+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-18T20:48:09+0100] DFHack 0.47.04-r2-0-gf2b0f012 on Linux; cwd md5: c90fea0b35; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
